分组,场景名,总点云,数量_背景类,数量_建筑类,数量_车辆类,数量_高植被类,数量_低植被类,占比_背景类,占比_建筑类,占比_车辆类,占比_高植被类,占比_低植被类,分组占比_背景类,分组占比_建筑类,分组占比_车辆类,分组占比_高植被类,分组占比_低植被类
single_group,32_val（复件）,27248569,17209760,19932,3496,5779765,4235616,0.6315839925392045,0.0007314879544683613,0.00012830031551381652,0.21211260672074192,0.15544361247007135,0.040000865016242206,0.00012508129154378177,0.0005084711497163921,0.016653471567377544,0.0279113101109334
single_group,33ZJ,23091305,9955372,9497208,378190,2120056,1140479,0.4311307654547892,0.4112893576175101,0.016378026274392027,0.09181187464285799,0.049389976010450684,0.0231393983157509,0.05959878801424526,0.05500535014623636,0.0061086034323624165,0.007515379827634803
single_group,34PTY1,6130680,2591404,356659,90849,2065972,1025796,0.42269438300482165,0.05817609139606047,0.01481874767562489,0.3369890452608846,0.16732173266260839,0.00602323342141611,0.002238178223997274,0.013213414039068793,0.005952769007217095,0.0067596567456906
single_group,35SBL_train,69303339,11991343,0,18013,48961230,8332753,0.17302691577385615,0.0,0.00025991532673483455,0.7064772160544819,0.12023595284492714,0.027871631719818338,0.0,0.0026198772367967307,0.14107397994707957,0.05491008936145548
single_group,35SBL_val,32483553,3201801,527454,79387,24322332,4352579,0.09856683473017869,0.0162375710563435,0.002443913693800675,0.7487583639634494,0.1339933165562277,0.007441986966109307,0.0033099853276105694,0.011546338433219457,0.07008092273895512,0.028682057639629367
single_group,36LT,11659863,5868808,2838790,199303,1849391,903571,0.5033342158479907,0.24346684004777758,0.017093082483044614,0.15861172639850057,0.07749413522268658,0.013640945406225444,0.017814545435559513,0.02898736428830838,0.0053287253781882,0.0059542343754122665
single_group,37XCNN_train,101721701,42244107,3929219,290002,34534179,20724194,0.41529100068824054,0.0386271460403518,0.002850935416426039,0.3394966723963847,0.2037342454585969,0.09818851755275451,0.02465742460758412,0.04217896177347057,0.09950473212651839,0.13656559176590732
single_group,37XCNN_train（复件）,101721701,42244107,3929219,290002,34534179,20724194,0.41529100068824054,0.0386271460403518,0.002850935416426039,0.3394966723963847,0.2037342454585969,0.09818851755275451,0.02465742460758412,0.04217896177347057,0.09950473212651839,0.13656559176590732
single_group,37XCNN_val,76903473,40736867,3788456,55533,21663901,10658716,0.5297142692112228,0.049262482592951296,0.0007221130312281215,0.28170250516514383,0.138598629999454,0.09468522036632769,0.023774080345012508,0.008076924587299885,0.06242107755972465,0.07023741709833176
single_group,37XCNN_val（复件）,76903473,40736867,3788456,55533,21663901,10658716,0.5297142692112228,0.049262482592951296,0.0007221130312281215,0.28170250516514383,0.138598629999454,0.09468522036632769,0.023774080345012508,0.008076924587299885,0.06242107755972465,0.07023741709833176
single_group,38HZ,10492812,5241309,3452724,46053,1264697,488029,0.4995142388903947,0.32905611956070496,0.0043890045871402255,0.1205298446212512,0.046510792340508915,0.012182441464460597,0.0216672274364947,0.006698118380403033,0.0036440228159531876,0.0032159498788673748
single_group,39PTY2,13282384,7803596,309533,60073,1862817,3246365,0.5875147112144928,0.0233040243377996,0.004522757360425659,0.14024718755307783,0.2444113195342041,0.01813799787081793,0.0019424436792806242,0.008737238952206185,0.005367410257117293,0.02139247284179687
single_group,UrbanBIS_Yingrenshi,9708600,1509707,6983543,382786,799812,32752,0.15550202912881364,0.7193151432750345,0.03942751787075376,0.08238180582164267,0.0033735039037554333,0.003509031266041826,0.04382453230942888,0.05567380935793446,0.0023045307899624582,0.00021582485965519315
single_group,terrain16,4462205,3116703,148620,163194,850502,183186,0.6984670135056548,0.03330640344851928,0.03657250171159774,0.1906012834461886,0.04105279788803966,0.00724419259761421,0.0009326500877602271,0.023735537988219934,0.0024505859451029125,0.0012071352204688635
single_group,terrain18,805553,534303,5184,31951,91118,142997,0.663274793837277,0.006435330760359653,0.03966343617365958,0.11311235883920735,0.1775140803894964,0.0012418872884208296,3.2531678474963105e-05,0.00464707142579761,0.0002625419930181083,0.0009423029877904756
single_group,terrain3,5087238,2314230,227624,29385,1845687,670312,0.45490893093659074,0.044744122449156105,0.005776218844095755,0.3628072836379977,0.13176344413215973,0.005378994352422009,0.0014284318636545144,0.004273862910302111,0.005318052892596559,0.004417134627662184
single_group,terrain9,9568082,8946654,291738,267373,14407,47910,0.9350519780244358,0.03049075039281645,0.02794426301948499,0.0015057354232541067,0.005007273140008625,0.020794822182356024,0.0018307729195464481,0.03888771645112154,4.151147406014055e-05,0.0003157110718759253
